Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
molten.manganese,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@41,熔融锰胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.manganese,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@31,熔融锰单元,gregtech:gt.metaitem.99
molten.manyullyn,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@564,熔融玛玉灵胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.manyullyn,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@386,熔融玛玉灵单元,gregtech:gt.metaitem.99
molten.mar-ce-m200 steel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@10097,熔融MAR-Ce-M200特种钢胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.mar-ce-m200 steel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@10097,熔融MAR-Ce-M200特种钢单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.mar-m200 steel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@10096,熔融MAR-M200特种钢胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.mar-m200 steel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@10096,熔融MAR-M200特种钢单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.maragingsteel250,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellMaragingSteel250@0,马氏体时效钢250单元,miscutils:itemCellMaragingSteel250
molten.maragingsteel300,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellMaragingSteel300@0,马氏体时效钢300单元,miscutils:itemCellMaragingSteel300
molten.maragingsteel350,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellMaragingSteel350@0,马氏体时效钢350单元,miscutils:itemCellMaragingSteel350
molten.melodicalloy,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@689,熔融旋律合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.melodicalloy,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@404,熔融旋律合金单元,gregtech:gt.metaitem.99
molten.meteoriciron,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@214,熔融陨铁胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.meteoriciron,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@340,熔融陨铁单元,gregtech:gt.metaitem.99
molten.meteoricsteel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@215,熔融陨钢胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.meteoricsteel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@341,熔融陨钢单元,gregtech:gt.metaitem.99
molten.mithril,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@695,熔融秘银胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.mithril,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@331,熔融秘银单元,gregtech:gt.metaitem.99
molten.molybdenum,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@43,熔融钼胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.molybdenum,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@48,熔融钼单元,gregtech:gt.metaitem.99
molten.mysteriouscrystal,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@677,熔融神秘水晶胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.mysteriouscrystal,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@398,熔融神秘水晶单元,gregtech:gt.metaitem.99
molten.mytryl,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@672,熔融深空秘银胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.mytryl,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@387,熔融深空秘银单元,gregtech:gt.metaitem.99
molten.naquadah,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@221,熔融硅岩胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.naquadah,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@324,熔融硅岩单元,gregtech:gt.metaitem.99
molten.naquadahalloy,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@222,熔融硅岩合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.naquadahalloy,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@325,熔融硅岩合金单元,gregtech:gt.metaitem.99
molten.naquadahenriched,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@223,熔融富集硅岩胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.naquadahenriched,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@326,熔融富集硅岩单元,gregtech:gt.metaitem.99
molten.naquadahfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellNaquadahFuel@0,硅岩燃料单元,miscutils:itemCellNaquadahFuel
molten.naquadria,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@224,熔融超能硅岩胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.naquadria,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@327,熔融超能硅岩单元,gregtech:gt.metaitem.99
molten.naquadriafuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellNaquadriaFuel@0,超能硅岩燃料单元,miscutils:itemCellNaquadriaFuel
molten.neodymium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@44,熔融钕胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.neodymium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@67,熔融钕单元,gregtech:gt.metaitem.99
molten.neodymiummagnetic,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@631,熔融磁化钕胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.neodymiummagnetic,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@356,熔融磁化钕单元,gregtech:gt.metaitem.99
molten.neptunium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellNeptunium@0,镎单元,miscutils:itemCellNeptunium
molten.neutronium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@45,熔融中子锭胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.neutronium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@129,熔融中子锭单元,gregtech:gt.metaitem.99
molten.nichrome,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@387,熔融镍铬合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.nichrome,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@311,熔融镍铬合金单元,gregtech:gt.metaitem.99
molten.nickel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@46,熔融镍胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.nickel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@34,熔融镍单元,gregtech:gt.metaitem.99
molten.nickelzincferrite,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@443,熔融镍锌铁氧体胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.nickelzincferrite,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@613,熔融镍锌铁氧体单元,gregtech:gt.metaitem.99
molten.niobium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@47,熔融铌胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.niobium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@47,熔融铌单元,gregtech:gt.metaitem.99
molten.niobiumcarbide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellNiobiumCarbide@0,碳化铌单元,miscutils:itemCellNiobiumCarbide
molten.niobiumnitride,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@388,熔融氮化铌胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.niobiumnitride,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@359,熔融氮化铌单元,gregtech:gt.metaitem.99
molten.niobiumtitanium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@389,熔融铌钛合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.niobiumtitanium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@360,熔融铌钛合金单元,gregtech:gt.metaitem.99
molten.nitinol60,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellNitinol60@0,镍钛诺60单元,miscutils:itemCellNitinol60
molten.octiron,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellOctiron@0,八角铁单元,miscutils:itemCellOctiron
molten.orichalcum,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@232,熔融山铜胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.orichalcum,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@966,熔融山铜单元,gregtech:gt.metaitem.99
molten.oriharukon,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@676,熔融奥利哈钢胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.oriharukon,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@393,熔融奥利哈钢单元,gregtech:gt.metaitem.99
molten.osmiridium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@322,熔融铱锇合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.osmiridium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@317,熔融铱锇合金单元,gregtech:gt.metaitem.99
molten.osmium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@49,熔融锇胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.osmium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@83,熔融锇单元,gregtech:gt.metaitem.99
molten.oureclase,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@234,熔融地晶胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.oureclase,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@961,熔融地晶	单元,gregtech:gt.metaitem.99
molten.palladium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@51,熔融钯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.palladium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@52,熔融钯单元,gregtech:gt.metaitem.99
molten.pentacadmiummagnesiumhexaoxid,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@706,熔融MV超导粗胚胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.pentacadmiummagnesiumhexaoxid,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@987,熔融MV超导粗胚单元,gregtech:gt.metaitem.99
molten.pigiron,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@394,熔融生铁胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.pigiron,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@307,熔融生铁单元,gregtech:gt.metaitem.99
molten.pikyonium64b,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPikyonium64B@0,皮卡优合金64B单元,miscutils:itemCellPikyonium64B
molten.plastic,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@395,Polyethylene,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.plastic,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@874,熔融聚乙烯单元,gregtech:gt.metaitem.99
molten.platinum,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@53,熔融铂胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.platinum,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@85,熔融铂单元,gregtech:gt.metaitem.99
molten.plutonium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@54,熔融钚-239胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.plutonium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@100,熔融钚-239单元,gregtech:gt.metaitem.99
molten.plutonium238,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPlutonium238@0,钚-238单元,miscutils:itemCellPlutonium238
molten.plutonium239,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPlutonium239@0,钚-239单元,miscutils:itemCellPlutonium239
molten.plutonium241,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@55,熔融钚-241胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.plutonium241,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@101,熔融钚-241单元,gregtech:gt.metaitem.99
molten.polonium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPolonium@0,钋单元,miscutils:itemCellPolonium
molten.polonium210,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPolonium210@0,钋-210单元,miscutils:itemCellPolonium210
molten.polybenzimidazole,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@657,熔融聚苯并咪唑胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polybenzimidazole,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@599,熔融聚苯并咪唑单元,gregtech:gt.metaitem.99
molten.polycaprolactam,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@399,熔融聚己内酰胺胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polycaprolactam,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@472,熔融聚己内酰胺单元,gregtech:gt.metaitem.99
molten.polyphenylenesulfide,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@459,熔融聚苯硫醚胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polyphenylenesulfide,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@631,熔融聚苯硫醚单元,gregtech:gt.metaitem.99
molten.polystyrene,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@461,熔融聚苯乙烯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polystyrene,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@636,熔融聚苯乙烯单元,gregtech:gt.metaitem.99
molten.polytetrafluoroethylene,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@400,熔融聚四氟乙烯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polytetrafluoroethylene,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@473,熔融聚四氟乙烯单元,gregtech:gt.metaitem.99
molten.polyvinylchloride,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@475,熔融聚氯乙烯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.polyvinylchloride,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@649,熔融聚氯乙烯单元,gregtech:gt.metaitem.99
molten.potassium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@56,熔融钾胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.potassium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@25,熔融钾单元,gregtech:gt.metaitem.99
molten.potassium chlorate,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@11314,熔融氯酸钾胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.potassium chlorate,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@11314,熔融氯酸钾单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.potassium disulfate,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@59,熔融焦硫酸钾单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.potassium disulfate,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@59,熔融焦硫酸钾胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.potin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellPotin@0,粗青铜合金单元,miscutils:itemCellPotin
molten.praseodymium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@57,熔融镨胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.praseodymium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@66,熔融镨单元,gregtech:gt.metaitem.99
molten.prometheum,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@240,熔融盗火之金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.prometheum,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@960,熔融盗火之金单元,gregtech:gt.metaitem.99
molten.promethium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@58,熔融钷胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.promethium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@68,熔融钷单元,gregtech:gt.metaitem.99
molten.protactinium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellProtactinium@0,镤单元,miscutils:itemCellProtactinium
molten.ptmeg elastomer,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@11312,熔融PTMEG橡胶胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.ptmeg elastomer,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@11312,熔融PTMEG橡胶单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.pulsatingiron,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@684,熔融脉冲铁胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.pulsatingiron,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@378,熔融脉冲铁单元,gregtech:gt.metaitem.99
molten.quantium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@671,熔融量子胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.quantium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@391,熔融量子单元,gregtech:gt.metaitem.99
molten.quantum,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellQuantum@0,量子合金单元,miscutils:itemCellQuantum
molten.radium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellRadium@0,镭单元,miscutils:itemCellRadium
molten.radoxpoly,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@734,熔融拉多X聚合物胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.radoxpoly,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@979,熔融拉多X聚合物单元,gregtech:gt.metaitem.99
molten.realgar,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@595,熔融雄黄胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.realgar,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@913,熔融雄黄单元,gregtech:gt.metaitem.99
molten.redalloy,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@578,熔融红色合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.redalloy,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@308,熔融红色合金单元,gregtech:gt.metaitem.99
molten.redsteel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@572,熔融红钢胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.redsteel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@348,熔融红钢单元,gregtech:gt.metaitem.99
molten.redstone,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@550,熔融红石胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.redstone,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@810,熔融红石单元,gregtech:gt.metaitem.99
molten.redstonealloy,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@678,熔融红石合金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.redstonealloy,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@381,熔融红石合金单元,gregtech:gt.metaitem.99
